Age,Gender,Socioeconomic_Status,Attendance_Percentage,Study_Hours_Per_Week,Previous_Term_Grade,Continuous_Assessment_Score,Performance_Status
19,Male,Medium,56.0,16.9,77.0,13.3,Average
19,Male,Low,90.9,17.5,75.2,30.5,Excellent
19,Female,Medium,85.7,17.0,61.0,25.3,Average
23,Female,Medium,89.7,13.0,88.4,26.8,Excellent
24,Male,Medium,95.6,17.5,66.7,27.7,Excellent
20,Female,Medium,87.0,22.0,94.1,34.7,Excellent
20,Female,Low,100.0,8.9,50.4,22.3,Average
24,Female,High,91.2,10.8,66.8,22.4,Average
19,Female,High,77.4,15.1,68.2,20.7,Average
21,Male,High,82.6,9.7,69.5,19.7,Average
18,Female,High,62.4,6.0,78.6,19.7,Average
23,Female,High,76.0,20.5,100.0,15.7,Excellent
18,Male,Medium,81.2,3.9,75.5,27.1,Average
24,Male,Medium,90.5,13.0,70.3,34.9,Excellent
21,Female,Medium,77.5,18.8,56.8,35.3,Average
23,Male,Medium,72.5,16.3,47.3,20.7,Average
24,Female,Medium,66.1,13.1,84.0,23.6,Excellent
19,Female,Medium,79.0,9.5,63.4,31.2,Average
20,Male,Low,100.0,16.7,100.0,27.2,Excellent
18,Female,Medium,87.7,10.1,80.4,25.7,Average
22,Female,High,94.4,16.3,74.1,23.7,Average
22,Female,Medium,76.0,15.7,74.7,30.9,Excellent
21,Female,Medium,69.3,15.8,74.8,19.6,Average
19,Male,Medium,72.8,11.8,61.7,27.4,Average
18,Male,Medium,84.0,25.2,49.0,26.7,Average
19,Female,High,65.1,16.8,63.4,25.2,Average
18,Male,Medium,74.9,13.6,69.8,28.9,Average
21,Female,Medium,79.1,16.3,62.2,25.2,Average
21,Female,Medium,71.8,11.1,54.6,22.3,At-Risk
22,Female,Medium,63.8,13.1,61.0,25.5,Average
19,Female,Medium,87.9,27.0,82.4,17.0,Average
23,Female,Medium,85.5,11.2,79.0,28.1,Average
22,Male,Medium,92.8,14.6,72.1,29.3,Excellent
19,Female,Medium,73.9,12.7,77.0,21.7,Average
22,Male,Medium,92.6,9.8,56.4,20.5,Average
23,Male,High,100.0,17.1,60.5,21.9,Excellent
20,Female,Low,87.6,15.2,73.7,24.7,Average
20,Female,High,78.9,19.6,57.9,26.1,Average
20,Female,Medium,86.5,19.1,71.3,33.1,Excellent
20,Female,Medium,78.4,19.5,54.8,32.4,Average
24,Female,Low,76.8,10.4,50.2,29.2,Average
18,Male,Medium,91.8,18.2,78.8,25.6,Excellent
24,Female,Medium,83.6,18.3,82.3,20.4,Average
24,Female,Low,97.1,9.9,62.4,33.4,Excellent
24,Male,Medium,80.6,13.4,51.8,23.8,Average
20,Male,High,81.6,7.7,43.5,26.4,Average
23,Female,Low,79.3,18.3,92.1,28.1,Excellent
21,Male,Medium,73.8,18.3,71.3,25.3,Average
21,Female,Medium,93.1,22.2,62.7,30.8,Excellent
18,Male,Medium,100.0,13.9,65.6,27.3,Excellent
20,Male,Medium,81.2,17.3,47.0,29.9,Average
20,Female,Low,78.2,19.9,77.4,27.2,Average
20,Male,Low,77.5,11.2,94.0,24.8,Excellent
22,Male,Low,78.2,10.5,60.6,25.4,Excellent
19,Male,Low,100.0,11.4,98.6,24.7,Excellent
22,Male,Medium,77.8,13.3,68.6,18.6,Average
19,Male,High,79.1,10.6,90.0,20.0,Excellent
20,Male,High,72.6,11.6,73.7,28.7,Average
20,Female,Medium,87.9,19.4,73.7,18.7,Excellent
22,Female,Low,84.3,14.5,92.1,23.0,Excellent
22,Male,Medium,73.6,16.5,79.4,19.7,Average
19,Female,Medium,76.1,12.2,74.5,22.7,Average
21,Female,Medium,100.0,11.9,46.7,24.2,Average
19,Female,Medium,85.3,16.4,51.9,23.0,Average
22,Male,Medium,86.0,15.6,75.5,17.9,Average
23,Female,Medium,86.1,18.9,87.6,24.1,Average
22,Male,Medium,98.9,21.5,71.5,20.2,Average
23,Female,High,74.5,11.5,62.9,21.8,Average
18,Male,Medium,81.0,19.3,47.9,28.7,Average
22,Male,Medium,83.3,9.6,60.6,29.8,Average
18,Female,High,67.8,25.4,71.6,18.4,Average
21,Female,High,75.8,11.1,59.7,32.8,Excellent
19,Male,Medium,95.5,18.5,58.4,22.4,Average
23,Female,Medium,92.6,9.6,69.4,22.0,Excellent
19,Female,Medium,94.4,14.2,87.4,20.5,Excellent
18,Female,High,79.1,22.7,78.2,25.3,Average
23,Male,High,80.3,10.9,73.4,34.9,Excellent
19,Male,Low,67.1,26.0,72.3,17.3,Average
22,Female,Medium,94.3,15.0,76.6,14.7,Average
20,Female,Medium,96.0,19.9,68.7,26.3,Average
18,Female,Medium,95.8,17.0,65.1,27.8,Excellent
19,Male,Low,100.0,17.3,78.9,25.3,Average
18,Male,High,89.2,7.9,67.3,28.0,Average
24,Female,Medium,100.0,12.6,55.7,19.3,Average
18,Female,High,83.0,21.0,87.3,20.3,Average
23,Female,High,67.3,13.3,47.6,25.6,Average
24,Female,Medium,93.6,15.7,88.2,33.8,Excellent
23,Female,Medium,67.0,7.3,76.1,27.8,Average
20,Female,Medium,86.7,12.3,58.4,28.0,Average
24,Male,Low,94.6,20.6,70.3,19.6,Average
22,Female,Medium,88.2,8.6,64.9,27.1,Average
18,Male,Low,100.0,18.6,79.7,19.1,Excellent
19,Female,Medium,65.3,15.9,79.5,33.8,Excellent
21,Female,Medium,84.2,13.8,75.5,19.9,Excellent
18,Male,Low,85.2,13.6,79.0,21.0,Average
18,Male,Low,71.6,12.5,68.6,17.6,Average
20,Male,Low,73.5,13.0,91.1,25.4,Excellent
22,Male,Medium,76.5,19.6,84.7,25.2,Excellent
21,Female,Medium,74.0,12.8,64.3,32.6,Excellent
24,Male,Medium,83.9,24.0,79.7,28.9,Excellent
24,Female,Low,79.0,16.5,78.7,21.0,Average
24,Male,Low,88.2,12.1,66.9,29.4,Excellent
23,Female,Low,91.5,19.9,65.9,18.8,Average
23,Female,Low,90.8,18.1,84.6,21.4,Excellent
19,Female,High,80.9,6.7,69.8,25.6,Average
21,Female,Medium,87.8,9.8,73.1,19.3,Average
24,Female,Medium,95.4,14.4,86.8,30.3,Excellent
23,Female,Low,89.5,7.1,100.0,36.4,Excellent
19,Male,Medium,100.0,25.5,63.7,23.5,Excellent
22,Female,Medium,94.8,19.1,67.3,21.7,Excellent
19,Male,Medium,100.0,14.9,70.9,24.4,Average
23,Male,Medium,60.1,13.3,71.2,22.2,Average
20,Female,Low,86.0,12.0,74.5,26.3,Average
20,Male,Medium,81.8,5.2,64.1,18.4,Average
24,Female,Medium,83.8,6.3,54.8,26.6,Average
20,Male,Medium,77.0,24.5,91.0,34.6,Excellent
24,Female,High,89.0,22.9,77.3,15.0,Average
24,Male,Medium,66.9,12.1,65.0,19.2,Average
23,Female,Medium,89.0,19.5,75.2,22.8,Average
20,Female,Medium,77.3,17.5,92.0,27.7,Excellent
24,Female,Medium,80.0,18.1,60.5,29.5,Excellent
21,Female,Medium,89.4,7.9,72.5,29.0,Average
22,Male,Medium,85.8,6.0,53.3,16.5,At-Risk
19,Female,Medium,95.5,20.9,68.6,21.6,Average
19,Male,Low,75.3,5.1,77.4,20.5,Average
23,Male,Medium,84.2,14.3,56.6,24.7,Average
20,Male,Medium,93.9,13.2,67.8,25.1,Average
20,Female,High,88.6,12.7,79.6,18.2,Average
24,Male,Medium,89.3,16.6,77.1,22.8,Average
18,Male,Medium,96.1,11.6,56.1,27.9,Average
24,Male,Low,80.9,17.0,74.5,21.9,Average
22,Female,Medium,78.8,15.7,76.7,24.0,Average
21,Female,Low,90.8,25.5,71.3,33.5,Excellent
19,Male,Medium,83.5,8.1,83.1,35.0,Excellent
24,Female,Low,96.2,15.1,62.9,14.2,Average
18,Female,Medium,88.7,17.2,74.9,25.6,Average
18,Male,Medium,78.8,13.7,56.0,39.6,Average
24,Male,Medium,88.4,8.3,50.8,27.4,Average
23,Female,High,76.0,21.3,79.4,25.1,Average
19,Male,Medium,94.5,16.7,70.2,31.6,Excellent
23,Female,Medium,71.0,8.7,64.4,26.1,Average
21,Female,Medium,97.2,17.2,57.2,28.5,Average
18,Female,Low,88.2,23.5,79.9,23.9,Average
18,Female,Medium,83.4,14.8,51.9,26.0,Average
22,Female,Low,92.6,15.0,81.9,27.1,Excellent
21,Female,Medium,90.1,22.8,75.4,29.3,Excellent
18,Male,Medium,98.3,10.1,52.5,22.8,Average
21,Male,Medium,98.2,23.6,71.5,22.7,Excellent
19,Female,Medium,88.5,19.9,100.0,15.4,Excellent
20,Female,Medium,76.3,10.4,84.3,23.1,Average
18,Female,Low,79.6,11.7,60.1,29.8,Average
22,Male,Medium,84.3,12.4,78.6,27.3,Average
19,Female,Medium,95.8,5.8,53.0,20.0,At-Risk
24,Male,High,80.4,16.3,53.5,15.5,Average
21,Female,High,81.3,10.6,69.2,24.3,Average
24,Female,High,100.0,16.5,76.6,29.6,Excellent
23,Male,Medium,84.0,8.5,79.7,22.6,Average
19,Male,Medium,78.7,19.6,79.9,17.8,Average
24,Female,Medium,92.8,18.7,75.9,22.1,Excellent
18,Female,Medium,84.4,11.5,50.6,26.6,Average
21,Female,Low,71.1,16.8,69.3,31.2,Excellent
20,Male,High,95.4,15.4,81.6,23.7,Excellent
19,Male,High,77.5,22.4,75.3,30.3,Excellent
18,Male,Medium,85.4,9.8,72.2,29.7,Excellent
22,Male,Low,84.3,14.2,74.0,19.1,Average
23,Male,Medium,87.3,11.8,73.8,31.3,Excellent
21,Male,High,63.1,15.2,46.4,26.5,Average
19,Female,High,81.6,17.7,83.9,19.0,Excellent
19,Female,Medium,96.2,11.7,68.7,33.8,Excellent
20,Male,Low,97.7,13.2,78.5,24.4,Excellent
20,Female,High,75.1,19.8,42.3,15.3,Average
22,Female,Medium,94.2,21.8,89.9,21.5,Excellent
23,Male,Medium,77.4,17.5,56.1,20.2,Average
22,Female,High,81.3,14.3,100.0,21.6,Excellent
18,Male,Low,81.8,13.8,95.4,22.8,Average
18,Male,Medium,86.1,17.7,54.1,23.7,Average
22,Female,Low,95.0,16.1,79.8,23.5,Average
23,Male,Medium,87.6,6.8,57.8,24.5,Average
22,Male,High,83.7,17.9,62.3,27.9,Average
23,Male,Medium,94.7,10.7,62.6,21.3,Average
23,Male,High,77.0,7.9,75.4,30.9,Excellent
24,Male,Medium,84.2,6.7,73.9,18.9,Average
21,Male,Medium,95.0,13.9,55.6,28.1,Average
23,Male,Medium,90.3,9.9,75.3,33.2,Excellent
20,Male,Medium,80.3,3.4,67.6,24.1,Average
23,Female,Medium,69.9,13.2,48.2,26.0,Average
23,Female,Low,88.1,12.5,64.8,20.2,Average
23,Female,Medium,69.2,14.3,89.9,22.4,Excellent
24,Male,Medium,82.9,11.9,65.2,32.8,Excellent
24,Male,Medium,96.8,24.1,48.0,28.7,Average
18,Female,Medium,91.0,17.6,79.8,27.1,Average
24,Female,Medium,64.8,12.5,58.9,15.3,At-Risk
20,Female,Low,87.0,14.7,72.6,21.4,Average
20,Male,Medium,81.8,22.1,67.9,33.7,Excellent
24,Female,Medium,72.3,19.8,91.1,27.1,Average
22,Female,Medium,88.4,8.0,67.9,27.7,Excellent
21,Male,Low,80.1,10.1,56.3,25.9,Average
24,Female,High,80.1,11.1,64.4,21.9,Average
23,Male,Medium,86.2,12.8,55.3,26.7,Average
19,Male,Medium,78.7,12.0,67.5,17.3,Average
21,Male,Low,86.0,15.2,91.2,17.0,Excellent
21,Female,Medium,79.1,18.7,85.0,21.3,Average
20,Female,Medium,79.6,19.5,94.5,26.0,Excellent
21,Male,Medium,94.9,13.4,75.8,17.2,Average
24,Female,Medium,95.9,6.8,71.7,25.6,Excellent
23,Female,High,67.9,9.8,58.0,20.0,Average
23,Female,Medium,92.5,12.4,73.2,20.7,Average
18,Female,Low,99.0,8.8,68.4,31.5,Excellent
23,Male,Medium,100.0,20.7,79.3,25.2,Excellent
23,Female,Medium,90.2,9.1,56.5,20.5,Average
20,Male,Medium,74.4,18.1,70.6,25.9,Average
23,Male,Low,91.3,6.6,51.1,17.7,Average
18,Female,Low,76.3,18.3,74.1,26.9,Average
19,Male,High,81.6,14.3,78.1,30.5,Average
24,Female,Medium,88.8,22.6,50.5,28.3,Average
20,Female,High,77.0,9.3,53.9,35.8,Average
19,Male,Medium,73.5,12.2,54.4,15.3,At-Risk
20,Male,Medium,89.7,13.1,67.9,25.6,Average
22,Male,Medium,100.0,14.2,53.2,18.3,Average
21,Male,High,97.4,13.3,86.5,24.1,Excellent
22,Female,Medium,92.1,13.4,75.2,25.0,Average
23,Female,Medium,94.8,13.3,77.2,36.4,Excellent
19,Female,Low,91.4,4.6,50.9,24.7,Average
23,Male,Medium,89.5,20.0,85.5,24.6,Excellent
21,Male,Medium,94.0,29.3,77.8,30.0,Excellent
20,Male,Medium,71.3,16.5,61.8,24.7,Average
21,Female,Medium,87.0,9.3,51.5,34.2,Average
18,Male,Medium,84.2,9.8,69.1,28.3,Average
21,Female,Medium,85.8,18.1,64.4,29.1,Average
18,Male,Medium,80.4,16.9,64.9,15.7,Average
21,Female,Medium,90.2,13.6,61.5,34.9,Excellent
24,Female,High,76.8,18.8,78.7,21.7,Average
18,Male,Medium,79.7,4.7,38.8,25.0,Average
19,Male,Low,78.5,18.8,87.2,21.7,Average
23,Female,Low,93.6,16.2,82.0,19.9,Excellent
23,Female,Medium,84.9,10.0,72.5,19.0,Average
22,Male,Medium,80.4,7.8,68.3,25.5,Average
23,Male,High,81.3,15.6,83.0,15.2,Average
20,Female,Medium,85.0,22.0,69.5,23.8,Average
24,Male,Medium,100.0,13.9,66.7,30.3,Average
21,Female,Medium,72.6,10.7,83.7,28.2,Excellent
22,Female,Medium,91.8,16.0,95.1,27.2,Excellent
20,Male,Medium,89.7,24.1,58.3,20.5,Average
20,Male,High,76.2,17.2,75.1,17.1,Average
18,Male,Medium,99.7,17.7,57.0,30.2,Average
23,Male,Medium,90.4,21.1,76.0,22.8,Average
19,Male,Medium,79.9,17.4,60.7,24.6,Average
19,Female,Low,66.4,11.1,84.5,24.0,Average
22,Female,Medium,87.3,6.3,68.8,28.4,Average
24,Male,Medium,84.6,10.4,70.6,34.2,Excellent
19,Male,Medium,74.7,9.5,89.6,32.3,Excellent
21,Male,Medium,74.6,18.3,61.2,13.3,Average
19,Female,Medium,93.7,19.0,78.2,23.5,Average
22,Male,High,65.4,15.9,62.4,18.3,Average
19,Male,Medium,88.1,8.7,84.4,29.7,Excellent
21,Female,Medium,83.1,23.9,91.4,25.0,Excellent
18,Female,Low,90.0,12.9,66.8,28.0,Excellent
24,Male,Low,82.1,18.0,43.7,23.0,At-Risk
22,Male,Medium,87.9,15.2,61.7,19.8,Average
18,Male,Medium,77.6,16.0,99.2,20.7,Excellent
18,Female,Medium,84.5,17.8,62.9,17.3,Average
18,Male,Low,89.9,11.5,91.3,18.7,Excellent
20,Male,Medium,86.5,21.5,62.7,17.6,Average
24,Male,Low,88.8,7.1,62.4,19.8,Average
23,Female,High,75.7,9.8,79.4,19.5,Average
24,Female,Medium,79.1,21.5,77.9,27.0,Average
20,Male,Medium,79.3,18.0,80.2,26.8,Average
23,Male,Low,82.2,27.7,70.1,27.0,Excellent
24,Female,Medium,98.6,15.3,82.4,30.9,Excellent
18,Female,Medium,81.5,23.5,81.5,24.6,Excellent
22,Female,High,73.6,5.7,83.8,21.1,Excellent
23,Female,High,90.4,7.9,62.5,36.1,Excellent
21,Female,Medium,98.5,19.5,82.4,29.5,Excellent
21,Female,High,72.4,6.3,63.7,25.8,Average
19,Female,High,100.0,14.0,68.1,25.4,Average
23,Female,High,89.2,20.8,67.9,26.4,Excellent
22,Female,High,95.3,17.5,58.0,24.0,Average
20,Male,Medium,99.7,15.1,49.2,25.6,Average
18,Male,Medium,94.7,12.8,84.7,27.5,Excellent
19,Male,Low,83.9,16.0,61.6,21.4,Excellent
21,Female,Low,97.2,17.9,66.8,16.8,Average
20,Male,High,87.5,11.7,61.2,14.6,Average
20,Female,Medium,95.9,16.9,66.9,29.4,Excellent
18,Female,Medium,97.0,20.4,63.9,17.1,Average
23,Male,High,74.1,13.9,85.3,27.3,Excellent
21,Female,High,92.9,15.3,62.9,19.2,Average
22,Male,High,83.2,17.4,90.6,19.3,Excellent
20,Male,Medium,86.4,17.8,83.7,21.4,Excellent
18,Male,Low,86.3,19.4,64.3,26.0,Average
22,Female,Medium,85.9,9.9,73.8,18.6,Average
23,Male,Low,100.0,12.4,76.2,21.9,Excellent
21,Female,Low,71.3,12.5,80.1,24.9,Excellent
23,Male,Medium,67.8,10.5,81.3,18.9,Average
20,Male,Medium,65.7,6.0,72.2,32.1,Average
22,Male,Medium,95.7,0.0,58.5,16.4,Average
22,Female,Medium,77.3,21.0,77.7,23.9,Average
22,Female,Medium,86.3,7.2,67.2,31.4,Average
20,Female,Medium,83.9,22.8,36.5,18.4,Average
20,Male,Low,76.1,18.7,74.7,24.5,Average
23,Male,Medium,93.5,13.0,61.2,25.7,Average
19,Female,Medium,83.7,18.1,64.5,21.0,Average
23,Female,Medium,82.6,17.1,70.1,24.6,Average
21,Female,Low,87.3,9.5,51.4,27.8,Average
18,Female,High,92.2,14.9,71.7,22.7,Excellent
22,Female,Medium,75.4,10.1,66.2,28.8,Average
19,Female,Medium,93.7,18.3,59.5,27.0,Average
18,Male,Medium,99.5,11.4,70.6,22.1,Excellent
19,Female,High,70.7,14.5,49.7,30.6,Average
24,Male,Medium,87.8,14.3,70.9,21.3,Excellent
23,Male,Medium,82.0,15.6,75.6,29.3,Excellent
20,Female,High,92.0,23.3,73.7,21.4,Average
22,Female,Medium,72.8,13.8,79.5,23.4,Excellent
23,Male,Medium,100.0,21.1,84.0,24.2,Excellent
18,Female,Medium,68.9,17.4,69.0,26.7,Excellent
24,Female,Medium,82.6,22.1,83.1,12.9,Average
24,Male,Medium,89.3,13.3,69.0,27.3,Average
24,Male,Medium,78.1,18.5,61.6,24.5,Excellent
18,Male,High,76.6,14.7,65.3,26.4,Average
18,Female,High,87.2,0.1,73.2,27.5,Average
18,Male,Medium,85.8,9.6,83.0,27.0,Excellent
18,Female,Medium,85.1,17.9,70.0,15.0,Average
24,Male,Medium,93.6,17.6,61.9,19.7,Average
24,Male,High,81.1,8.5,87.3,26.7,Average
19,Male,High,88.2,16.1,52.8,26.0,Average
23,Female,Medium,79.9,17.5,62.0,21.1,Average
22,Female,High,76.5,14.8,80.7,28.7,Excellent
20,Male,Medium,82.2,18.6,91.2,23.7,Excellent
24,Male,Medium,80.0,18.0,75.8,29.4,Excellent
20,Male,Low,80.5,14.8,73.0,31.1,Excellent
23,Female,Medium,96.7,12.4,66.5,26.4,Average
23,Male,Medium,82.5,20.2,76.6,27.8,Excellent
20,Female,Medium,78.4,17.3,71.6,22.0,Average
24,Male,Medium,85.3,8.1,60.9,29.5,Excellent
20,Male,High,86.0,16.1,66.3,26.1,Average
19,Male,Low,73.1,9.2,59.6,23.5,Average
21,Male,Medium,82.0,10.2,70.2,18.9,Average
24,Male,Medium,81.6,11.7,71.9,22.6,Average
24,Male,Medium,83.3,15.2,89.6,19.5,Excellent
22,Female,Medium,92.3,16.9,62.8,28.8,Average
18,Male,Medium,86.4,13.0,67.8,31.1,Excellent
21,Female,Low,97.3,13.2,85.1,29.6,Excellent
23,Male,Medium,84.9,12.5,91.7,37.4,Excellent
24,Male,Medium,100.0,20.2,75.7,22.7,Average
20,Female,Low,80.4,0.7,67.0,28.0,Average
21,Male,Medium,77.3,13.5,64.3,19.1,Average
22,Female,Medium,90.5,22.7,47.9,24.0,Average
23,Female,Medium,98.6,17.6,58.9,17.6,Average
18,Male,High,71.2,21.3,71.2,27.8,Average
18,Female,Low,83.0,4.8,67.8,23.2,Average
22,Female,Low,78.9,8.8,77.5,14.7,Average
22,Male,Medium,86.4,17.6,67.7,21.6,Average
20,Female,Medium,85.1,22.8,61.3,34.0,Average
24,Male,Medium,98.5,9.3,74.1,27.1,Average
18,Male,High,83.9,13.1,100.0,28.8,Excellent
23,Male,High,98.7,17.0,66.2,25.6,Excellent
21,Male,High,81.8,7.7,71.7,24.1,Excellent
23,Female,Medium,94.3,17.6,80.2,25.1,Excellent
19,Male,Medium,87.3,1.6,63.1,26.2,Average
19,Male,Medium,100.0,17.5,85.3,19.5,Excellent
22,Female,Low,70.2,10.0,51.1,28.8,Average
20,Male,Medium,73.4,12.8,65.1,30.6,Excellent
19,Male,Medium,100.0,18.3,66.3,24.0,Excellent
18,Female,High,77.7,17.2,71.8,22.4,Excellent
23,Female,Medium,78.3,15.0,46.3,21.3,Average
23,Female,Medium,76.2,19.8,86.2,33.8,Excellent
22,Female,Medium,96.5,6.5,75.0,22.7,Average
24,Female,Low,72.5,16.0,83.5,28.3,Excellent
24,Female,Low,85.2,11.0,89.4,24.1,Average
21,Female,Medium,82.3,19.6,61.1,23.8,Average
22,Male,Low,95.4,18.4,40.1,21.2,Average
21,Female,Medium,79.4,18.6,83.8,20.1,Average
24,Female,High,89.2,23.2,66.6,28.7,Average
22,Female,High,73.3,20.6,56.4,20.0,Average
22,Male,Medium,100.0,14.2,76.9,27.3,Average
22,Male,Medium,82.6,15.0,99.6,25.5,Excellent
24,Female,High,85.1,18.0,68.7,28.8,Average
21,Female,High,100.0,15.7,81.4,22.0,Average
21,Female,Low,79.1,18.5,58.1,30.4,Average
22,Male,Medium,100.0,3.8,49.8,24.3,Average
19,Male,Medium,80.9,24.4,81.0,38.0,Excellent
20,Female,High,91.7,15.3,76.6,16.9,Average
24,Male,High,79.3,6.9,64.4,37.1,Average
20,Female,Low,71.4,10.4,90.5,24.4,Average
20,Male,High,89.1,4.4,48.8,26.1,Average
21,Male,Medium,91.4,9.5,55.2,22.0,Average
21,Female,High,71.8,14.3,63.5,17.2,At-Risk
19,Female,Medium,81.9,22.6,65.7,22.4,Excellent
20,Female,High,97.0,17.1,87.6,23.2,Excellent
20,Female,Low,91.0,16.2,70.6,25.9,Excellent
22,Male,Medium,81.0,9.3,67.7,30.6,Average
21,Male,Low,79.0,10.9,54.8,26.0,Average
20,Male,High,100.0,11.3,83.0,26.0,Excellent
23,Female,High,70.5,11.5,56.4,26.9,At-Risk
19,Male,High,84.4,13.2,54.7,16.2,At-Risk
23,Female,High,70.4,13.6,65.2,16.7,Average
23,Male,Low,98.1,13.3,72.0,17.5,Average
24,Female,Medium,84.9,11.6,61.4,23.1,Average
24,Female,Low,86.8,15.7,78.5,15.6,Average
19,Male,Medium,100.0,13.4,66.6,21.6,Average
23,Female,Medium,79.1,7.0,82.6,18.2,Average
20,Female,Medium,100.0,15.2,76.1,27.4,Excellent
21,Male,Medium,81.1,14.4,91.5,27.2,Excellent
19,Female,Low,82.7,7.1,64.7,23.5,Average
22,Female,Low,100.0,12.0,80.1,15.5,Average
23,Female,Low,83.4,18.0,48.6,23.8,Average
19,Male,High,71.3,9.3,100.0,26.6,Excellent
18,Male,Medium,87.8,8.8,79.5,29.1,Excellent
18,Female,High,83.3,13.4,66.4,33.8,Excellent
24,Male,Medium,88.7,18.1,66.9,30.6,Excellent
21,Female,Medium,83.7,24.1,67.0,25.8,Average
20,Female,Medium,100.0,18.3,92.1,23.6,Excellent
21,Female,Medium,90.6,20.4,80.8,21.3,Average
21,Female,Medium,74.3,16.7,64.7,31.8,Average
21,Female,Medium,86.2,11.6,55.1,25.8,Average
21,Male,Low,77.0,18.3,84.4,28.2,Excellent
22,Female,Medium,82.5,14.6,80.1,22.0,Average
22,Male,Medium,75.9,16.9,78.5,18.8,Excellent
24,Male,Medium,100.0,10.3,69.0,23.0,Excellent
19,Female,Low,78.1,17.3,66.4,23.5,Average
18,Female,Medium,91.9,14.4,90.2,26.0,Average
21,Male,High,81.8,16.2,91.3,21.3,Excellent
24,Male,Low,73.4,14.6,77.7,25.1,Excellent
19,Male,Medium,87.0,13.6,81.6,30.9,Excellent
18,Female,High,89.0,17.4,72.8,16.6,Average
23,Male,Low,90.6,13.0,53.6,14.4,Average
20,Female,Low,58.8,7.1,58.2,31.2,Average
22,Female,Medium,72.7,5.6,83.8,17.7,Average
23,Female,Medium,94.6,15.9,85.3,23.1,Excellent
18,Male,Medium,75.8,12.8,82.6,28.0,Excellent
23,Female,High,87.0,6.4,74.2,24.7,Average
20,Female,Low,72.4,15.5,83.1,24.6,Excellent
24,Female,Medium,92.3,14.5,69.3,25.4,Average
18,Female,Medium,94.3,12.5,77.5,37.6,Excellent
23,Female,Low,92.3,16.2,67.5,33.9,Excellent
22,Male,Medium,95.3,21.6,57.3,21.5,Average
22,Female,Medium,100.0,21.4,80.4,30.3,Excellent
19,Female,Medium,73.3,15.7,85.3,27.5,Average
23,Male,Low,77.1,14.6,99.7,24.9,Excellent
21,Female,Medium,94.0,15.8,73.2,20.5,Average
23,Male,Medium,96.3,16.5,57.4,27.3,Excellent
24,Female,High,78.3,13.7,66.1,23.5,Average
18,Male,Low,77.6,15.9,68.4,23.1,Average
18,Male,Medium,78.5,7.1,71.8,21.2,Average
24,Female,Medium,68.9,15.4,75.7,30.0,Excellent
23,Female,Medium,72.3,17.4,74.4,21.2,Excellent
24,Female,Medium,72.5,12.6,79.3,21.2,Average
20,Male,Medium,82.1,14.5,72.4,28.9,Excellent
24,Male,Medium,87.7,9.4,43.3,24.3,Average
22,Male,High,89.3,8.7,72.7,24.4,Excellent
24,Female,Medium,79.9,16.1,71.0,30.2,Excellent
18,Male,Medium,80.2,11.4,76.6,31.6,Average
22,Male,High,86.2,6.1,65.7,14.4,Average
18,Female,High,70.0,9.4,72.7,24.4,Average
19,Male,High,94.6,10.2,76.7,17.9,Average
21,Male,Medium,97.9,18.9,68.1,23.1,Average
18,Female,Low,78.7,15.9,78.1,25.0,Average
22,Male,Medium,81.0,10.6,70.8,23.2,Average
19,Female,Medium,97.4,12.1,71.9,19.9,Average
18,Female,Medium,83.8,21.6,34.9,19.6,At-Risk
20,Female,Medium,90.9,19.7,56.3,28.6,Average
24,Female,High,84.1,9.4,56.3,32.7,Average
21,Female,Medium,100.0,20.8,72.6,14.7,Average
18,Male,High,89.9,14.6,85.3,23.4,Excellent
19,Male,Medium,90.5,19.0,68.6,28.7,Excellent
20,Female,Medium,90.7,14.2,80.2,24.8,Average
23,Female,Medium,79.4,20.9,77.8,19.4,Average
19,Male,Medium,80.4,9.2,71.7,22.6,Average
24,Female,Low,92.7,13.7,76.9,26.5,Excellent
19,Female,Low,86.3,21.1,73.0,23.5,Average
20,Female,High,73.2,3.0,68.3,24.8,Average
19,Male,Low,100.0,14.8,74.7,24.9,Excellent
20,Male,Medium,94.8,13.0,87.4,22.4,Average
18,Female,Medium,85.4,18.4,75.7,29.1,Average
20,Female,Medium,82.3,20.3,72.6,22.6,Average
20,Male,Medium,87.0,18.7,59.5,20.0,Average
21,Male,Medium,90.2,16.2,87.0,36.1,Excellent
20,Female,Medium,64.7,15.2,53.1,24.6,Average
20,Female,Medium,100.0,13.3,49.5,12.0,Average
23,Male,Medium,77.1,16.0,74.5,31.3,Average
18,Male,Low,85.0,22.3,59.4,31.3,Excellent
24,Male,Medium,85.3,10.8,83.1,27.3,Excellent
21,Female,Low,100.0,13.0,49.8,28.2,Average
23,Male,Medium,84.1,14.6,81.5,35.8,Average
22,Female,Medium,100.0,20.0,79.9,20.2,Average
18,Male,Low,89.1,16.1,71.4,25.7,Excellent
18,Male,High,75.4,19.9,44.8,34.8,Average
22,Male,Medium,86.3,20.2,49.3,35.9,Average
24,Male,High,83.8,18.0,72.9,23.2,Average
20,Female,High,74.2,9.7,67.2,35.1,Average
23,Female,Medium,88.6,23.3,78.7,29.0,Excellent
19,Male,Low,85.2,22.1,69.2,32.5,Excellent
21,Female,Medium,90.6,15.3,68.1,28.8,Excellent
19,Male,Medium,86.9,8.1,40.9,26.5,At-Risk
